% start	end	CellId	TxBytes	RxBytes
31	32	4	22785	22785
31	32	5	105800	105800
31	32	1	66129	66598
31	32	5	110992	110870
31	32	4	93000	92225
31	32	4	22785	23002
31	32	2	87167	87167
31	32	1	84773	84773
32	33	5	105800	105800
32	33	2	54730	54309
32	33	4	33681	33681
32	33	2	54728	54728
32	33	1	105600	105600
32	33	5	54467	54250
32	33	1	29048	29048
32	33	4	48836	48415
32	33	2	62846	63315
32	33	4	48836	48836
32	33	1	105600	105600
32	33	1	23366	23100
32	33	2	75135	75135
32	33	1	42456	42035
32	33	4	48415	48836
32	33	2	38006	37697
32	33	4	13832	13699
32	33	2	54730	54730
32	33	1	23962	23962
32	33	4	33680	33680
32	33	5	26589	25175
32	33	1	34917	35226
32	33	4	23002	23002
32	33	5	105800	105800
32	33	1	58625	58625
32	33	5	101120	101242
32	33	4	92225	93000
32	33	4	23002	22785
32	33	2	79996	79996
32	33	1	91190	91190
33	34	5	105800	105800
33	34	2	59360	59781
33	34	4	33681	33372
33	34	2	60539	60539
33	34	1	105600	105600
33	34	5	41664	41664
33	34	1	26635	26635
33	34	4	48414	48835
33	34	2	73977	73977
33	34	4	48834	48834
33	34	1	105600	105600
33	34	1	23653	23653
33	34	2	68474	68474
33	34	1	38022	38134
33	34	4	48836	48836
33	34	2	40788	41097
33	34	4	13832	13566
33	34	2	59781	59360
33	34	1	23653	23653
33	34	4	33681	33681
33	34	5	25137	24871
33	34	1	34607	34607
33	34	4	23002	23002
33	34	5	105800	105800
33	34	1	58156	58156
33	34	5	102711	102711
33	34	4	93000	93000
33	34	4	22785	23002
33	34	2	87758	87161
33	34	1	95323	95323
34	35	5	105800	105800
34	35	2	59361	59361
34	35	4	33372	33681
34	35	2	68472	68472
34	35	1	105600	105600
34	35	5	42098	42098
34	35	1	24290	24290
34	35	4	48836	48415
34	35	2	87162	87162
34	35	4	48415	48415
34	35	1	105600	105600
34	35	1	23870	23870
34	35	2	68941	68472
34	35	1	34607	34916
34	35	4	48414	48414
34	35	2	41097	41097
34	35	4	13699	13699
34	35	2	59361	59782
34	35	1	23870	23870
34	35	4	33372	33372
34	35	5	25536	24339
34	35	1	34917	34917
34	35	4	22785	22785
34	35	5	105800	105800
